"automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.654","0.989","0.996","0.0","33.13415050129046","0.243","0","0.0","interacts with","ASPM (interacts with) KIF11","0","false","interacts with","ASPM (interacts with) KIF11"
"0.194","0.98","0.983","0.0","46.361617617735696","0.0","0","0.0","interacts with","ASPM (interacts with) NDC80","0","false","interacts with","ASPM (interacts with) NDC80"
"0.193","0.214","0.496","0.0","135.86000652834548","0.27","0","0.0","interacts with","ASPM (interacts with) TUBGCP3","0","false","interacts with","ASPM (interacts with) TUBGCP3"
"0.235","0.79","0.836","0.0","50.61700191317472","0.059","0","0.0","interacts with","ASPM (interacts with) MCM4","0","false","interacts with","ASPM (interacts with) MCM4"
"0.111","0.607","0.636","0.0","55.82792714346647","0.0","0","0.0","interacts with","ASPM (interacts with) DEPDC1B","0","false","interacts with","ASPM (interacts with) DEPDC1B"
"0.546","0.985","0.994","0.0","31.135584511504042","0.243","0","0.0","interacts with","ASPM (interacts with) CENPE","0","false","interacts with","ASPM (interacts with) CENPE"
"0.455","0.894","0.94","0.0","94.23566621617273","0.0","0","0.0","interacts with","ASPM (interacts with) NUF2","0","false","interacts with","ASPM (interacts with) NUF2"
"0.544","0.976","0.988","0.0","315.8876248106666","0.057","0","0.0","interacts with","ASPM (interacts with) CCNA2","0","false","interacts with","ASPM (interacts with) CCNA2"
"0.293","0.621","0.72","0.0","21.800305577941213","0.0","0","0.0","interacts with","ASPM (interacts with) SPC25","0","false","interacts with","ASPM (interacts with) SPC25"
"0.45","0.924","0.958","0.0","157.2624995706953","0.075","0","0.0","interacts with","ASPM (interacts with) MELK","0","false","interacts with","ASPM (interacts with) MELK"
"0.458","0.966","0.981","0.0","55.808806134573","0.0","0","0.0","interacts with","ASPM (interacts with) TPX2","0","false","interacts with","ASPM (interacts with) TPX2"
"0.103","0.832","0.843","0.0","48.4540204366617","0.0","0","0.0","interacts with","ASPM (interacts with) SHCBP1","0","false","interacts with","ASPM (interacts with) SHCBP1"
"0.65","0.933","0.98","0.0","54.24792429792429","0.243","0","0.0","interacts with","ASPM (interacts with) KIF15","0","false","interacts with","ASPM (interacts with) KIF15"
"0.294","0.775","0.834","0.0","20.162247869543858","0.0","0","0.0","interacts with","ASPM (interacts with) CDCA2","0","false","interacts with","ASPM (interacts with) CDCA2"
"0.257","0.062","0.424","0.0","1999.64977998087","0.24","0","0.0","interacts with","ASPM (interacts with) EXOC7","0","false","interacts with","ASPM (interacts with) EXOC7"
"0.346","0.869","0.911","0.0","257.5337575186234","0.0","0","0.0","interacts with","ASPM (interacts with) FOXM1","0","false","interacts with","ASPM (interacts with) FOXM1"
"0.459","0.912","0.951","0.0","121.26401595588182","0.07","0","0.0","interacts with","ASPM (interacts with) RRM2","0","false","interacts with","ASPM (interacts with) RRM2"
"0.217","0.918","0.936","0.0","154.3368506054199","0.077","0","0.0","interacts with","ASPM (interacts with) EXO1","0","false","interacts with","ASPM (interacts with) EXO1"
"0.629","0.962","0.985","0.0","67.8041534448984","0.0","0","0.0","interacts with","ASPM (interacts with) CENPF","0","false","interacts with","ASPM (interacts with) CENPF"
"0.465","0.911","0.951","0.0","68.52585847808518","0.058","0","0.0","interacts with","ASPM (interacts with) NEK2","0","false","interacts with","ASPM (interacts with) NEK2"
"0.594","0.915","0.978","0.0","87.89445925301737","0.423","0","0.0","interacts with","ASPM (interacts with) KIF14","0","false","interacts with","ASPM (interacts with) KIF14"
"0.12","0.351","0.405","0.0","341.35287330604336","0.0","0","0.0","interacts with","ASPM (interacts with) DHFR","0","false","interacts with","ASPM (interacts with) DHFR"
"0.258","0.285","0.447","0.0","565.2720209062111","0.0","0","0.0","interacts with","ASPM (interacts with) GPSM2","0","false","interacts with","ASPM (interacts with) GPSM2"
"0.0","0.334","0.465","0.0","43.11385654947844","0.23","0","0.0","interacts with","ASPM (interacts with) SPC24","0","false","interacts with","ASPM (interacts with) SPC24"
"0.134","0.547","0.591","0.0","27.26424263854366","0.0","0","0.0","interacts with","ASPM (interacts with) MTFR2","0","false","interacts with","ASPM (interacts with) MTFR2"
"0.674","0.064","0.71","0.0","183.32298689045027","0.128","0","0.0","interacts with","ASPM (interacts with) NUMA1","0","false","interacts with","ASPM (interacts with) NUMA1"
"0.229","0.686","0.748","0.0","20.88243555274646","0.0","0","0.0","interacts with","ASPM (interacts with) FAM83D","0","false","interacts with","ASPM (interacts with) FAM83D"
"0.306","0.7","0.786","0.0","92.33533787882652","0.056","0","0.0","interacts with","ASPM (interacts with) RAD54L","0","false","interacts with","ASPM (interacts with) RAD54L"
"0.26","0.8","0.846","0.0","19.92972018723835","0.0","0","0.0","interacts with","ASPM (interacts with) MCM10","0","false","interacts with","ASPM (interacts with) MCM10"
"0.102","0.863","0.872","0.0","24.151508738617025","0.0","0","0.0","interacts with","ASPM (interacts with) E2F8","0","false","interacts with","ASPM (interacts with) E2F8"
"0.162","0.861","0.879","0.0","50.467656656595096","0.0","0","0.0","interacts with","ASPM (interacts with) UHRF1","0","false","interacts with","ASPM (interacts with) UHRF1"
"0.389","0.844","0.9","0.0","90.83222191968065","0.0","0","0.0","interacts with","ASPM (interacts with) PTTG1","0","false","interacts with","ASPM (interacts with) PTTG1"
