"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"13500",-4.33486298350961,6.00263622482138,-5.20722864344996,9.6951548186851e-07,5.51617223891526e-05,5.37298969924898,"DOWN"
"1573",-2.62211105846977,9.72489369306236,-5.19995916848523,1.00008970317999e-06,5.64386666098107e-05,5.34355808020195,"DOWN"
"11491",2.12432696332366,9.37715276577991,5.19760991793303,1.01017003609619e-06,5.68534617072085e-05,5.33405183031603,"UP"
"3687",2.53451440047928,6.19745149277906,5.1968287508907,1.0135438478078e-06,5.68895878349046e-05,5.33089138381544,"UP"
"2501",4.16092349020046,8.63825929336669,5.16968766871202,1.13784481247289e-06,6.26838105157022e-05,5.22125445617651,"UP"
"6221",-3.48449517281339,8.75111276761434,-5.15767303919597,1.19750884075387e-06,6.56234844733122e-05,5.1728273966801,"DOWN"
"11594",-2.07368569950165,7.7228906565371,-5.15270554793356,1.22305958931678e-06,6.68477503620279e-05,5.1528241987094,"DOWN"
"14762",-2.65596281478886,7.23096831826249,-5.12625165119951,1.36834778929624e-06,7.40116217254672e-05,5.04648853876473,"DOWN"
"10997",2.65321404465006,9.05282677903552,5.09556977282147,1.5580044894286e-06,8.15173002207569e-05,4.92355989037916,"UP"
"4938",2.80388583687039,10.486606305572,5.08981800247704,1.59630660687032e-06,8.33120019585651e-05,4.90056347070207,"UP"
"6219",-3.32299860289292,9.20458949827753,-5.06804139898847,1.74981523387607e-06,8.95286300497183e-05,4.81363659492669,"DOWN"
"19767",-2.76406795022707,5.30242569373092,-5.04516348051979,1.92657208421485e-06,9.69056451248552e-05,4.72255190763974,"DOWN"
"6360",-2.45556468589976,5.92803139726037,-5.04069169263238,1.96309945053356e-06,9.82682282642089e-05,4.70477689242773,"DOWN"
"12043",-2.02349972543402,6.75812020127611,-5.03533434183352,2.00774955638396e-06,9.97837154227673e-05,4.68349421917207,"DOWN"
"3074",-2.8446858759357,6.83072652526913,-5.01997840027961,2.14128460303376e-06,0.000105413972987175,4.62256603687542,"DOWN"
"17337",-2.73153353205648,9.39220559407076,-5.01470776492346,2.18908226476239e-06,0.00010743507624946,4.60167929812508,"DOWN"
"19750",2.76635907502757,10.4156495455899,4.98505665570459,2.47797635737883e-06,0.000119171777519761,4.48442241647666,"UP"
"16386",2.61574711345032,10.0642473349827,4.97704001568131,2.56225461591813e-06,0.000121818242287395,4.45279223876803,"UP"
"13453",2.68312598675722,6.99884483501808,4.97301042480215,2.60566477388229e-06,0.000123039372451984,4.43690485360454,"UP"
"16521",-2.02596558357601,6.60549948317898,-4.96278754969004,2.71903136225424e-06,0.000127238447387825,4.39663431617728,"DOWN"
"17566",2.58113468641518,8.98199534027943,4.95654368708959,2.79061924026948e-06,0.000130004150020966,4.37206286863023,"UP"
"189",-2.87583487924958,10.718861314807,-4.9485454535486,2.88500586587712e-06,0.000133802588309633,4.34061492171505,"DOWN"
"323",-2.13130024146069,5.02895334711326,-4.94509982848594,2.92661837786743e-06,0.000134831639603344,4.32707672613465,"DOWN"
"7119",-2.68779854994226,7.36638896937758,-4.93376951216643,3.06761304844762e-06,0.000140395547518403,4.28259934350369,"DOWN"
"11471",3.04370562190416,8.68811483984188,4.93227780636396,3.08666125450485e-06,0.000140415793490605,4.27674826042732,"UP"
"16118",-3.0660253610242,5.07075022593863,-4.9118783896983,3.35898566442715e-06,0.000149780551340537,4.19684199680574,"DOWN"
"12671",-2.57516810666276,8.20108811468019,-4.90018602701815,3.525465116926e-06,0.000156143271219922,4.15113358280975,"DOWN"
"11792",-3.93446684355068,6.0417559566792,-4.8997607435267,3.53166926357008e-06,0.000156143271219922,4.14947230328491,"DOWN"
"8079",-2.359664501425,3.16274546997633,-4.88869739478123,3.69684705086106e-06,0.00016275505916941,4.10628686913096,"DOWN"
"17610",2.19323056638454,9.55958302641932,4.88511497885647,3.75192550915782e-06,0.000164282279928,4.09231591277642,"UP"
