"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1",,"Unclustered","5.0","STAT2","false","STAT2"
"-1",,"Unclustered","2.0","CXCL14","false","CXCL14"
"-1",,"Unclustered","2.7777777777777777","PIK3CG","false","PIK3CG"
"-1",,"Unclustered","1.6666666666666667","XCL1","false","XCL1"
"-1","Cluster 8","Seed","2.0","SLCO1B3","false","SLCO1B3"
"-1",,"Unclustered","0.0","DAZAP2","false","DAZAP2"
"-1",,"Unclustered","0.6666666666666666","TOB2","false","TOB2"
"1",,"Unclustered","0.0","LRRC58","false","LRRC58"
"-1",,"Unclustered","0.6666666666666666","UST","false","UST"
"-1",,"Unclustered","0.4","YBX3","false","YBX3"
"1",,"Unclustered","0.5","RAB40C","false","RAB40C"
"1",,"Unclustered","2.7","VAV3","false","VAV3"
"-1","Cluster 4","Clustered","4.0","DDX10","false","DDX10"
"-1",,"Unclustered","0.3333333333333333","PAPOLA","false","PAPOLA"
"-1",,"Unclustered","2.7777777777777777","UTP6","false","UTP6"
"1",,"Unclustered","0.2857142857142857","SMG1","false","SMG1"
"-1","Cluster 4","Clustered","4.0","DOHH","false","DOHH"
"1",,"Unclustered","0.6666666666666666","NUP43","false","NUP43"
"-1",,"Unclustered","2.0","RBM5","false","RBM5"
,,"Unclustered","2.142857142857143","WBSCR22","false","WBSCR22"
"-1",,"Unclustered","2.311111111111111","RPF1","false","RPF1"
"1",,"Unclustered","0.5","ZFP36L2","false","ZFP36L2"
"-1",,"Unclustered","0.0","DIO2","false","DIO2"
"-1",,"Unclustered","1.2","DLL1","false","DLL1"
"-1",,"Unclustered","2.0","OLFM4","false","OLFM4"
"-1",,"Unclustered","2.0","HOPX","false","HOPX"
"-1",,"Unclustered","0.4","MBNL2","false","MBNL2"
"-1",,"Unclustered","3.0","LAMC3","false","LAMC3"
"-1",,"Unclustered","2.0","PGM5","false","PGM5"
"1",,"Unclustered","0.0","DPEP3","false","DPEP3"
"1",,"Unclustered","0.6666666666666666","LY6K","false","LY6K"
"1",,"Unclustered","4.0","DUSP1","false","DUSP1"
"1",,"Unclustered","2.0","TRIB3","false","TRIB3"
"-1",,"Unclustered","0.8333333333333334","MAP3K1","false","MAP3K1"
"1",,"Unclustered","2.0","PTPRE","false","PTPRE"
"-1",,"Unclustered","1.6666666666666667","EN2","false","EN2"
"-1",,"Unclustered","0.0","OBSL1","false","OBSL1"
,,"Unclustered","1.4","LARS","false","LARS"
"1",,"Unclustered","1.6666666666666667","EGLN1","false","EGLN1"
"-1",,"Unclustered","1.6666666666666667","UBE2S","false","UBE2S"
"-1",,"Unclustered","0.0","ELK3","false","ELK3"
"-1",,"Unclustered","2.0","TLE1","false","TLE1"
"-1",,"Unclustered","0.0","ENTPD2","false","ENTPD2"
