"","group","filter","genes","logFC","logCPM","LR","PValue"
"5462",-1,"5462","FAM20C",-2.17971164168987,3.21545696685761,15.3378229162329,8.98984891459116e-05
"5467",-1,"5467","FAM216B",-2.30926718107444,2.2530591866764,14.3950739430911,0.000148189461067694
"5615",1,"5615","FBXL16",3.18170481042286,3.88369647418569,10.9689295267587,0.000926522665344644
"5632",1,"5632","FBXO11",2.12534892738609,2.13242016774666,12.678649812601,0.000369854548245155
"5668",1,"5668","FBXW11",2.69704305150721,4.54840381655103,18.6965256066275,1.53261492421967e-05
"5744",-1,"5744","FGD5-AS1",-3.20045358943332,5.77648095886851,26.6592545498911,2.42685589970287e-07
"5758",1,"5758","FGF18",2.72951519909028,4.42776737851544,11.6216855975493,0.000651872979640182
"5843",1,"5843","FLG",2.12481254937911,5.35480556663362,15.0838458157473,0.000102839592579841
"5867",1,"5867","FLOT1",2.01774691632153,5.86296466710011,14.5941306075286,0.000133329171507989
"5870",-1,"5870","FLRT2",-2.7409977356441,5.2171066732547,19.6345538872472,9.3758174666806e-06
"5898",1,"5898","FN1",3.35211979021774,9.5839128424457,29.3164261297184,6.14723876320199e-08
"5952",1,"5952","FOXJ3",1.82622100427982,5.08140612044917,12.3203104402972,0.000448056177694238
"5968",-1,"5968","FOXP1",-2.53193608364453,7.20402964231285,10.8297427312834,0.000998825153373131
"6035",1,"6035","FSTL1",2.00108065842717,6.22320789992558,14.4594279525047,0.000143211199091237
"6091",-1,"6091","FZD4",-2.67468589081041,4.08485656970963,10.9529011682649,0.000934571714482655
"6106",-1,"6106","G6PC3",-2.52712487270355,5.54810088526927,10.7561517524126,0.00103933266576483
"6109",-1,"6109","GAB1",-2.15460957540494,3.11214742873137,13.1246778834144,0.000291431459677881
"6167",1,"6167","GALNT14",2.82989015501261,4.27070360843081,12.5525491496271,0.000395666186068943
"6213",1,"6213","GAS1",4.61805817717969,6.92363117911682,14.3928875800265,0.000148361619660881
"6453",-1,"6453","GLS",-2.31800033242792,3.53966920416958,14.9574368802907,0.000109963785104197
